	Hunmong	mongeum
芥	계ᄌᆞᆺ	개
薑	ᄉᆡᇰ야ᇰ	ᄭᅡᆼ
蘑	표고	마
菇	표곳	고
蘘	야ᇰ핫	야ᇰ
蒡	우와ᇰ	바ᇰ
萵	부루	와
苣	부루	거
蕨	고사리	궐
虌	고사리	별
藕	년ᄭᆞᆫ	우
蘇	ᄎᆞ소기	소
菠	시근ᄎᆡ	파
蔆	시근ᄎᆡ	르ᇰ
莙	근대	군
𦼫	샤라부루	거
蕒	샤라부루	ᄆᆡ
𫉖	올미	ᄇᆞᆯ
𫊖	올미	졔
蔢	박핫	파
𦽅	박핫	하
芣	뵈ᄧᅪᇰ이	부
苢	뵈ᄧᅪᇰ이	이
蔞	믈ᄡᅮᆨ	루
葵	아옥	규
葇	뇌야기	ᅀᅲ
萞	피마ᄌᆞ	비
鳳	보ᇰ화ᇰ	보ᇰ
凰	보ᇰ화ᇰ	화ᇰ
鸞	란둇	란
鶴	학	학
鴻	긔려기	호ᇰ
鴈	긔려기	안
𦉓	너ᅀᅵ	부
鵠	고해	곡
𪀚	도로ᇰ태	쇼ᇰ
鶻	매	골
鷹	매	으ᇰ
隼	매	쥰
鵂	부훠ᇰ이	휴
鶹	부훠ᇰ이	류
鴞	부훠ᇰ이	효
鵩	부훠ᇰ이	복
鵰	수리	됴
鷲	수리	츄
鸛	한새	관
⿱牧鳥	다와기	목
𪅖	오과리	좌ᇰ
鷸	도요	휼
鵚	므수리	독
鶖	므수리	츄
𪄉	할미새	오ᇰ
𪆂	할미새	거
鶺	할미새	쳑
鴒	할미새	려ᇰ
鵓	집비두리	ᄇᆞᆯ
鴿	집비두리	합
鴷	뎌고리	렬
鳩	비두리	구
鷂	새매	요
鸇	새매	젼
鷐	새매	신
𩘲	새매	푸ᇰ
𪇔	루미	ᄌᆞ
䳓	두루미	로
鵜	사ᄃᆞ새	뎨
鶘	사ᄃᆞ새	호
鷄	ᄃᆞᆰ	계
雉	ᄭᅯᇰ	티
鵝	거유	아
鴨	올히	압
鴡	즤ᇰ거ᇰ이	져
鷗	ᄀᆞᆯ며기	구
⿰舒鳥	믓올히	셔
鳧	믓올히	부
鷦	볍새	쵸
鷯	볍새	료
鶬	아리새	차ᇰ
鶊	아리새	겨ᇰ
烏	가마괴	오
鴉	ᄀᆞᆯ가마괴	아
鸒	ᄀᆞᆯ가마괴	여
𪆁	ᄀᆞᆯ가마괴	ᄉᆞ
隹	새	쵸
雀	새	쟉
梟	옫바미	효
鷁	ᄇᆞᄅᆞᆷ가비	ᄋᆡᆨ
鷰	져비	연
鳦	져비	을
鸚	곳고리	ᄋᆡᆼ
鸝	곳고리	례
鳲	버국새	시
𪀗	버국새	궤
鴶	버국새	알
鵴	버국새	국
鷸	모ᄎᆞ라기	암
鶉	모ᄎᆞ라기	슌
鳶	쇠로기	연
鴟	쇠로기	치
鵲	가치	쟉
鷽	댓가치	ᄒᆞᆨ
鳺	졉동새	규
鵑	졉도ᇰ새	견
鸂	믓ᄃᆞᆰ	계
鷘	믓ᄃᆞᆰ	틱
鷺	하야로비	로
鷥	하야로비	ᄉᆞ
翡	쇠새	비
翠	쇠새	취
鸚	ᄋᆡᆼ무	ᄋᆡᆼ
鵡	ᄋᆡᆼ뭇	무
鴦	원아ᇰ	원
鴦	원아ᇰ	아ᇰ
鸕	가마오디	로
鶿	가마오디	ᄌᆞ
麒	긔린	긔
麟	긔린	린
虎	갈웜	호
豹	표엄	표
象	고키리	샤ᇰ
獅	ᄉᆞᄌᆡᆺ	ᄉᆞ
狻	ᄉᆞᄌᆡ	산
猊	삿기	예
獐	노ᄅᆞ	쟈ᇰ
麕	노ᄅᆞ	균
麅	고라니	포
麝	샤햐ᇰ노ᄅᆞ	샤
麋	사ᄉᆞᆷ	미
鹿	사ᄉᆞᆷ	록
麀	사ᄉᆞᆷ	우
麛	삿기	미
豺	스ᇰ랴ᇰ이	싀
狼	일히	라ᇰ
獱	너ᇰ우리	빈
獺	너ᇰ우리	달
獼	납	미
猴	납	후
猢	납	호
猻	납	손
犀	므쇼	셔
貂	돈피	툐
豨	돋	희
貓	괴	묘
駒	ᄆᆞ야지	구
犢	쇼ᇰ아지	독
猩	ᄉᆡᇰᄉᆡᇰ이	셔ᇰ
猿	납	원
𦍩	염쇼	고
䍽	염쇼	력
羊	야ᇰ	야ᇰ
羔	삿기	고
猪	돋	뎨
豕	돋	시
彘	돋	톄
豚	삿기	돈
貉	우슭	학
貆	삿기	훤
狐	여으	호
狸	ᄉᆞᆰ	리
熊	곰	우ᇰ
羆	곰	비
𩧐	약대	락
駝	약대	타
狗	가히	구
獒	큰가히	오
犬	가히	견
厖	더펄가히	바ᇰ
馬	ᄆᆞᆯ	마
牛	쇼	우
驢	나귀	려
騾	노새	로
猯	오ᅀᆞ리	단
獾	담뵈	환
兎	톳기	토
蝟	고솜돋	위
鼢	두디쥐	분
鼠	쥐	셔
鼯	ᄃᆞ라미	오
鼪	ᄃᆞ라미	ᄉᆡᇰ
龍	미르	료ᇰ
龜	거붑〮	귀
黿	쟈래	원
鼈	쟈래	별
螃	게〯	바ᇰ
