	Hunmong	mongeum
軸	토ᇰ	튝
轂	토ᇰ	곡
軺	ᄃᆞᆯ고지	요
@	밀술위	가ᇰ
輪	바회	륜
輔	도을	보
輞	바회	마ᇰ
@	바회	거
轑	살	료
輻	살	복
鞍	기르마	안
鞽	가지	교
@	연좌ᅀᆞ	뎜
珂	ᄉᆞᆲ핌	가
韂	ᄃᆞᆯ애	쳠
靾	어치	톄
@	고ᄃᆞᆯ개	츄
@	졈불	쟈ᇰ
鞚	굴에	고ᇰ
勒	굴에	륵
鞿	굴에	긔
@	굴에	로ᇰ
轡	셕	비
靶	셕	파
靮	쥬리울	뎍
韁	쥬리울	가ᇰ
銜	마함	함
鑣	마함	표
鐙	드ᇰᄌᆞᆺ	드ᇰ
@	드ᇰ피	졀
鞭	채	편
檛	채	좌
@	채	?
策	채	ᄎᆡᆨ
干	바ᇰ패	간
櫓	바ᇰ패	로
盾	바ᇰ패	슌
瞂	바ᇰ패	벌
戈	차ᇰ	과
矛	차ᇰ	모
劒	환도	검
戟	차ᇰ	극
槍	차ᇰ	차ᇰ
槊	긴차ᇰ	삭
鋒	ᄂᆞᆯ	보ᇰ
鍔	ᄂᆞᆯ	악
@	갑	합
鋏	환도	협
鉞	도ᄎᆡ	월
鏚	도ᄎᆡ	쳑
銃	호토ᇰ	츄ᇰ
砲	셕탄ᄌᆞ	포
鼓	붑	고
鼙	붑	비
甲	갑	갑
鎧	갑	개
冑	투구	듀
鍪	투구	모
弓	활	구ᇰ
弧	활	호
弩	소니	노
弦	시울	현
弰	활고재	쇼
弭	고재	미
弝	좀	파
彄	활오ᄂᆡ	구
@	헐겁지	결
韘	헐겁지	셥
@	ᄑᆞᆯ지	한
韝	ᄑᆞᆯ지	구
@	솔관	져ᇰ
@	솔관	뎍
堋	무겁	브ᇰ
帿	솔	후
翎	살짓	려ᇰ
@	고도리	박
髇	울고도리	호
骲	ᄲᅧ고도리	박
鏃	살믿	족
鏑	살믿	뎍
鈚	히ᇰ?그럭	피
鍭	살믿	후
箭	살	젼
矢	살	시
筈	살오ᄂᆡ	괄
笴	삸대	간
鉦	ᄌᆡᇰ	져ᇰ
鑼	ᄌᆡᇰ	라
旗	긧	긔
纛	둑	독
@	구ᇰᄃᆡ	?
鞬	구ᇰᄃᆡ	건
韣	구ᇰᄃᆡ	독
韔	구ᇰᄃᆡ	탸ᇰ
@	도ᇰ개	보
靫	도ᇰ개	차
箶	도ᇰ개	호
簏	도ᇰ개	록
堊	ᄒᆡᆫᄒᆞᆰ	악
素	ᄒᆡᆯ	소
粉	부ᇇ	분
白	ᄒᆡᆫ	ᄇᆡᆨ
@	쳐ᇰᄃᆡ	뎐
靑	프를	쳐ᇰ
黛	쳐ᇰᄃᆡᆺ	ᄃᆡ
黑	거믈	흑
玄	가ᄆᆞᆯ	현
皂	거믈	조
丹	블글	단
雘	블글	확
彤	블글	도ᇰ
赭	블글	쟈
赬	블글	뎌ᇰ
赤	블글	젹
朱	블글	쥬
緋	블글	ᄇᆡ
紅	블글	호ᇰ
絳	블글	가ᇰ
黃	누를	화ᇰ
紫	ᄌᆞ딛	ᄌᆞ
綠	프를	록
碧	ᄑᆞᄅᆞᆯ	벽
紗	삿	사
羅	놋	라
綾	고로	르ᇰ
段	비다ᇇ	단
鎌	깁	겸
絁	모시뵈	시
布	뵈	포
帛	비단	ᄇᆡᆨ
氁	무ᄌᆞ	모
@	무ᄌᆞ	갈
@	시욱	젼
毯	다ᇝ	담
綈	굴근 깁	뎨
繒	ᄀᆞᄂᆞᆫ 깁	즈ᇰ
絺	ᄀᆞᄂᆞᆫ 뵈	티
綌	굴근 뵈	격
紈	깁	환
綺	깁	긔
綃	깁	쵸
絹	깁	견
錦	그ᇝ	금
紬	며ᇰ디	듀
縐	무뤼	추
縠	무뤼	곡
寶	보ᄇᆡᆺ	보
貝	쟈개	패
錢	돈	젼
鈔	춋	쵸
金	쇠	금
銀	은	은
珠	구슬	쥬
玉	옥	옥
銅	구리	도ᇰ
鐵	쇠	텰
鍮	듀셕	듀
鉐	듀셕	셕
汞	슈은	호ᇰ
鈆	연	연
鑞	납	랍
錫	납	셕
瓊	구슬	겨ᇰ
瑤	구슬	요
瓔	구슬	여ᇰ
珞	구슬	락
珍	구슬	딘
玭	진쥬	변
璣	구슬	긔
璧	구슬	벽
珊	산홋	산
瑚	산홋	호
瑪	마놋	마
瑙	마놋	노
琉	류릿	류
璃	류릿	리
琥	호박	호
珀	호박	ᄇᆡᆨ
琵	비홧	비
琶	비홧	파
鐘	쇠붑	죠ᇰ
磬	셕겨ᇱ	경
琴	고	금
瑟	비화	슬
笳	초덕	가
拍	ᄇᆡᆨ	ᄇᆡᆨ
笙	ᄉᆡᇱ	ᄉᆡᇰ
簫	숏	쇼
管	뎌	관
籥	뎌	약
觱	피리	필
篥	피리	률
箏	아ᄌᆡᇰ	ᄌᆡᇰ
笛	뎌	뎍
疾	병ᄒᆞᆯ	질
病	벼ᇱ	벼ᇰ
疼	알ᄑᆞᆯ	도ᇰ
痛	알ᄑᆞᆯ	토ᇰ
吐	토ᄒᆞᆯ	토
瀉	즈칄	샤
嘔	개올	구
@	개올	역
疲	시드러울	피
憊	여윌	븨
憔	셔ᇰ가실	쵸
悴	셔ᇰ가실
羸	여윌	리
瘦	여윌	수
癯	여윌	구
瘠	어윌	쳑
癬	버즘	션
癜	어루러지	뎐
疥	옴	개
癩	료ᇰ벼ᇰ	뢰
疱	ᄣᅳ리	포
痘	ᄒᆡᇰ역	두
瘰	련쥬차ᇰ	라
癧	련쥬차ᇰ	력
蠱	좀	고
脹	탸ᇰ만	탸ᇰ
疔	뎌ᇰ죠ᇰ	뎌ᇰ
疸	화ᇰ닰	단
喘	쳔만	쳔
咳	기츰	ᄒᆡ
嗽	기츰	수
癮	두드러기	은
@	두드러기	딘
癤	브ᅀᅳ름	졀
疿	ᄯᆞᆷ되어야기	블
疣	혹	우
贅	혹	ᄎᆒ
癭	믈혹	여ᇰ
瘤	믈혹	류
跎	드ᇰ 구블	타
瘸	젉	가
瘖	버워리	암
瘂	버워리	아
㿗	퇴산	퇴
疝	퇴산	산
瘻	루차ᇰ	루
痔	디질	티
癎	겨ᇰ가ᇇ	간
痓	등 고ᄃᆞᆯ	딜
狂	미칠	과ᇰ
癲	미칠	뎐
疶	즈칄	셜
痢	즈칄	리
聤	귀 헐	뎌ᇰ
@	귀 헐	뎨
癰	브ᅀᅳ름	오ᇰ
疽	브ᅀᅳ름	져
瘡	헐므ᅀᅳᆯ	차ᇰ
趼	부루틀	견
痎	고곰	ᄒᆡ
瘧	고곰	학
痁	고곰	졈
癨	도와리	확
瘟	쟈ᇰ셕	온
疫	쟈ᇰ셕	역
痰	춤	담
瘚	손 발 ᄎᆞᆯ	궐
黶	사마괴	염
痣	사마괴	지
皸	ᄃᆞᆯ	군
瘃	ᄃᆞᆯ	탁
腫	부ᅀᅳᆯ	죵
脪	발셜	흔
痂	더데	가
@	더데	차
瘢	허믈	반
痕	허믈	흔
疤	허믈	파
疵	허믈	ᄌᆞ
崩	믈허딜	브ᇰ
薨	주글	후ᇰ
@	주글	졸
死	주글	ᄉᆞ
魂	넉	혼
魄	넋	ᄇᆡᆨ
輀	술위	ᅀᅵ
櫬	안집	친
棺	안집	관
柩	곽	구
槨	밧집	곽
殮	갈믈	렴
屍	주검	시
殯	비ᇰ솟	빈
葬	무들	자ᇰ
窀	무덤	둔
穸	무덤	셕
碑	빗	비
碣	갈셕	갈
墳	무덤	분
塚	무덤	툐ᇰ
墓	무덤	묘
壙	구모	과ᇰ
混	흐릴	혼
沌	얼읠	돈
開	열	ᄀᆡ
闢	열	벽
淸	ᄆᆞᆯᄀᆞᆯ	쳐ᇰ
濁	흐릴	탁
位	벼슬	위
奠	노ᄒᆞᆯ	뎐
造	지ᅀᅳᆯ	조
化	도읠	화
斡	두를	알
旋	두를	션
光	빗	과ᇰ
景	볃	겨ᇰ
流	흐를	류
轉	올믈	뎐
旻	하ᄂᆞᆯ	민
昊	하ᄂᆞᆯ	호
穹	구븓ᄒᆞᆯ	구ᇰ
窿	구븓ᄒᆞᆯ	류ᇰ
暾	ᄒᆡᆺ귀	돈
旭	ᄒᆡᆺ귀	욱
暈	모로	운
明	ᄇᆞᆯᄀᆞᆯ	명
照	ᄇᆞᅀᆡᆯ	죠
曜	ᄇᆞᅀᆡᆯ	요
暉	비췰	휘
暎	ᄇᆞᅀᆡᆯ	여ᇰ
暪	아ᄃᆞᆨᄒᆞᆯ	만
眛	아ᄃᆞᆨᄒᆞᆯ	ᄆᆡ
暗	아ᄃᆞᆨᄒᆞᆯ	암
暝	아ᄃᆞᆨᄒᆞᆯ	며ᇰ
暄	더울	훤
暖	더울	난
炎	더울	염
燠	더울	욱
凉	ᄎᆞᆯ	랴ᇰ
冷	ᄎᆞᆯ	ᄅᆡᇰ
凍	얼	도ᇰ
冸	노글	반
晴	갤	쳐ᇰ
霽	갤	졔
霾	ᄒᆞᆰ비	ᄆᆡ
曀	흐릴	예
昕	아ᄎᆞᆷ	흔
晡	나죄	포
昃	기울	ᄎᆡᆨ
旰	느즐	한
古	녜	고
今	엳	금
翌	ᄂᆡ일	익
昨	어제	작
夙	이를	슉
晏	느즐	안
曩	아ᄅᆡ	나ᇰ
昔	녜	셕
人	사ᄅᆞᆷ	ᅀᅵᆫ
物	갓	믈
受	바ᄃᆞᆯ	슈
賦	ᄐᆡ올	부
品	ᄎᆞ례	품
彙	물	휘
滋	부를	ᄌᆞ
殖	부를	식
羽	짓	우
毛	터럭	모
鱗	비늘	린
介	다ᇰ아리	개
飛	ᄂᆞᆯ	비
潛	ᄌᆞᆷᄀᆞᆯ	ᄌᆞᆷ
動	뮐	도ᇰ
植	시믈	식
@	벌에	곤
蟲	벌에	튜ᇰ
禽	새	금
鳥	새	됴
魚	고기	어
獸	즘ᄉᆡᇰ	슈
禾	쉬	화
穀	낟	곡
菓	여름	과
蓏	여름	라
菜	ᄂᆞᄆᆞᆯ	ᄎᆡ
蔬	ᄂᆞᄆᆞᆯ	소
草	플	초
卉	플	훼
樹	나모	슈
木	나모	목
根	불휘	근
荄	불휘	ᄒᆡ
株	읏듬	듀
幹	읏듬	간
槎	들궐	사
@	그르	알
萌	움	ᄆᆡᇰ
芽	엄	아
柯	가지	가
枝	가짓	지
葉	닙	엽
花	곳	화
蘂	여희	예
英	곳부리	여ᇰ
葩	곳 보ᇰ리	파
叢	ᄠᅥᆯ기	초ᇰ
苞	ᄠᅥᆯ기	포
莖	줄기	ᄀᆡᇰ
蔕	고고리	톄
藤	너출	드ᇰ
虆	너출	류
秧	움	아ᇰ
苗	이삭	묘
榮	비ᅀᅳᆯ	여ᇰ
華	빗날	화
枯	이울	고
槁	이울	고
柴	섭	싀
薪	섭	신
蒭	ᄭᅩᆯ	추
蕘	섭나모	요
稈	줄기	간
稭	줄기	ᄀᆡ
穎	이삭	여ᇰ
穗	이삭	슈
梗	줄기	겨ᇰ
莿	가ᄉᆡ	ᄌᆞ
杈	거릴	차
梢	귿	쵸
耕	갈	겨ᇰ
耰	ᄡᅵ두플	우
種	시믈	죠ᇰ
蒔	옴겨 시믈	시
耘	기ᅀᅳᆷ ᄆᆡᆯ	운
耔	붓도돌	ᄌᆞ
@	기ᅀᅳᆷᄆᆡᆯ	표
薅	기ᅀᅳᆷᄆᆡᆯ	호
栽	시믈	ᄌᆡ
椄	졉ᄒᆞᆯ	졉
@	것고즐	쳔
揷	고즐	삽
培	붓도돌	ᄇᆡ
壅	붓도돌	오ᇰ
零	ᄠᅳᆮ드를	려ᇰ
落	딜	락
@	ᄧᅩᆨ	린
瓣	ᄧᅩᆨ	판
@	ᄡᅵ	다ᇰ
瓤	어월	야ᇰ
竿	댓줄기	간
箬	댓닙	ᅀᅣᆨ
筠	댓 겁질	균
籜	댓 고의	탁
稼	시믈	가
穡	거둘	ᄉᆡᆨ
@	누릴	라
@	누리	타
收	거둘	슈
割	버힐	할
刈	뷔	애
穫	뷜	확
擣	디흘	도
舂	디흘	쇼ᇰ
簸	가볼올	파
@	슬흘	벌
稃	거플	부
秕	주글	피
穅	겨	가ᇰ
麧	겨	흘
莩	ᄀᆞᆯ쳐ᇰ	부
莢	고토리	협
柎	곳고의	부
萼	곳고의	악
榾	불휫 들궐	골
柮	불휫 들궐	돌
核	ᄡᅵ	ᄒᆡᆨ
@	ᄡᅵ	골
肫	멀더건	둔
膍	멀더건	비
距	톱	거
尾	ᄭᅩ리	미
@	새 부리	ᄎᆌ
喙	부리	훼
嗉	산멱	소
吭	새 목	하ᇰ
翰	짓	한
翮	짓	격
翅	ᄂᆞᆯ개	시
翼	ᄂᆞᆯ개	익
翶	봄놀	고
翔	봄놀	샤ᇰ
@	ᄂᆞ라 오를	힐
@	ᄂᆞ라 ᄂᆞ릴	하ᇰ
雌	암	ᄌᆞ
雄	수	우ᇰ
牝	암	비ᇰ
牡	수	모
塒	깃	시
巢	깃	소
窠	깃	과
棲	기ᅀᅳᆯ	셔
孶	삿기 칠	ᄌᆞ
菢	알아늘	포
卵	알	란
雛	삿기	추
啄	딕머글	탁
哺	머길	포
鷇	삿기	구
啼	울	뎨
騲	암	초
騍	아ᄃᆞᆯ	과
牯	수쇼	고
牸	암	ᄌᆞ
犍	악대	건
犗	악대	계
騸	불아ᅀᆞᆯ	션
驐	불아ᅀᆞᆯ	돈
肥	ᄉᆞᆯ질	비
@	ᄉᆞᆯ질	표
@	고낼	사ᇰ
踠	ᄆᆞᆯ 거틸	완
羖	수야ᇰ	고
羝	수야ᇰ	뎨
羯	악대야ᇰ	갈
豶	악대돋	분
嘲	울	됴
@	울	야
@	울	셕
鳴	우룸	며ᇰ
嘶	울	싀
吠	즈즐	폐
噪	우지질	조
雊	울	구
蠢	구믈어릴	쥰
蠕	구믈어릴	ᅀᅧᆫ
翀	ᄂᆞ라 오ᄅᆞᆯ	튜ᇰ
翥	ᄂᆞᆯ	쟈
咆	우를	포
嘷	우를	호
呌	울	교
吼	우를	후
咂	믈	잡
囓	믈	혈
噬	믈	셔
咬	믈	교
觝	ᄣᅵ를	뎨
觸	ᄣᅵ를	쵹
踶	ᄎᆞᆯ	뎨
@	ᄎᆞᆯ	위
閑	멀험	한
圈	어리	권
苙	우리	립
棧	우리	잔
豢	칠	환
養	칠	야ᇰ
飼	머길	ᄉᆞ
餵	머길	위
騎	ᄐᆞᆯ	긔
乘	ᄐᆞᆯ	스ᇰ
駕	머ᇰ에	가
馭	ᄆᆞᆯ 달홀	어
@	내맛ᄆᆞᆯ	산
駷	셕다틸	소ᇰ
馳	ᄃᆞᆯ일	티
驅	몰	구
蒐	산ᄒᆡᇰ	수
狩	산ᄒᆡᇰ	슈
@	산ᄒᆡᇰ	션
畋	산ᄒᆡᇰ	뎐
釣	나ᄭᅳᆯ	됴
射	ᄡᅩᆯ	쌰
屠	주길	도
皮	갓	피
革	갓	혁
韋	갓	위
鞹	갓	곽
筋	힘	근
角	ᄲᅳᆯ	각
鬣	갈기	렵
鬉	갈기	조ᇰ
䰇	지네	기
鰾	부레	표
蹄	굽	뎨
蹢	굽	뎍
蟠	서릴	반
蟄	수믈	팁
蛻	허ᇰ울	예
@	허ᇰ울	고ᇰ
蚛	좀머글	듀ᇰ
蝕	벌에 머글	식
蘞	목 ᄡᅩᆯ	험
螫	벌 ᄡᅩᆯ	셕
@	잰ᄆᆞᆯ	찬
@	누읏굴	뎐
騰	봄놀	드ᇰ
驤	봄놀	야ᇰ
弨	활 브리울	툐
弛	활 브리울	이
@	도지게	겨ᇰ
@	대자비	튜
彀	활 혈	구
@	활 혈	곽
彎	활 혈	만
張	활 지흘	댜ᇰ
祭	졔ᄒᆞᆯ	졔
祀	졔ᄒᆞᆯ	ᄉᆞ
歆	자실	흠
饗	자실	힝
福	복	복
祿	녹	녹
祐	복	우
祚	복	조
宴	이바디	연
餞	젼소ᇰ	젼
犒	이바ᄃᆞᆯ	고
@	이바ᄃᆞᆯ	로
餫	이바ᄃᆞᆯ	운
餉	이바ᄃᆞᆯ	햐ᇰ
饁	이바ᄃᆞᆯ	녑
酺	이바ᄃᆞᆯ	포
汲	기를	급
注	브ᅀᅳᆯ	주
澡	시슬	조
洗	시슬	셰
沐	머리 ᄀᆞᄆᆞᆯ	목
浴	모욕	욕
漱	야ᇰ지ᄒᆞᆯ	수
盥	ᄂᆞᆺ 시슬	관
淘	일	도
淅	일	셕
沙	일	사
汰	일	태
泔	ᄯᅳ믈	감
潘	ᄯᅳ믈	번
瀋	ᄯᅳ믈	심
@	ᄯᅳ믈	간
笮	지즐울	ᄎᆡᆨ
壓	지즐울	압
澄	ᄆᆞᆯ길	드ᇰ
濾	ᄆᆞᆯ길	려
渣	즈ᅀᅴ	사
滓	즈ᅀᅴ	ᄌᆡ
垽	즈ᅀᅴ	은
澱	즈ᅀᅴ	뎐
涌	소ᄉᆞᆯ	요ᇰ
沸	글흘	비
滾	글흘	곤
涫	글흘	관
添	더을	텸
沃	ᄲᅳ릴	옥
溢	너믈	일
瀽	넘ᄯᅵᆯ	건
@	주길	지
殺	주길	살
@	튀ᄒᆞᆯ	퇴
燖	무더니길	심
撕	ᄧᅳ즐	ᄉᆞ
@	ᄠᅳ들	ᅀᅧᆷ
烝	ᄠᅵᆯ	즈ᇰ
缹	ᄠᅳᆯ	부
炊	밥 지ᅀᅳᆯ	ᄎᆔ
爨	블 디들	찬
烹	ᄉᆞᆯᄆᆞᆯ	ᄑᆡᇰ
煮	ᄉᆞᆯᄆᆞᆯ	쟈
@	밥 니글	ᅀᅵᆸ
熟	니글	슉
饙	아ᅀᅵ ᄠᅵᆯ	분
餾	ᄠᅴ울	류
攤	펼	탄
@	ᄆᆞᄅᆞᆯ	간
擂	ᄀᆞᆯ	뢰
硏	ᄀᆞᆯ	연
@	다ᄆᆞᆯ	ᄌᆡ
盛	다ᄆᆞᆯ	셔ᇰ
飣	괼	뎌ᇰ
餖	괼	두
醃	ᄀᆞᆫ저릴	엄
@	긔ᄒᆞᆯ	번
@	매ᄐᆞᆯ	ᄆᆡ
浥	달 ᄠᅳᆯ	읍
饐	쉴	에
餲	쉴	애
醭	골아지	복
殕	곰퓔	부
@	블 ᄧᅬᆯ	고
煏	블 ᄧᅬᆯ	핍
焙	블 ᄧᅬᆯ	ᄇᆡ
烘	블 ᄧᅬᆯ	호ᇰ
燔	구을	번
炙	구을	쟈
煠	데틸	잡
爚	데틸	약
爁	봇글	람
焦	누를	쵸
炮	구을	포
爊	고을	오
煎	지질	젼
熬	봇글	오
炒	봇글	쵸
煿	봇글	박
@	맛볼	샤ᇰ
嗜	즐길	기
饞	음식 탐ᄒᆞᆯ	참
渴	목 ᄆᆞᄅᆞᆯ	갈
味	맛	미
臭	내	ᄎᆔ
香	곳다올	햐ᇰ
馨	곳다올	혀ᇰ
葷	누릴	훈
釅	ᄆᆡ올	엄
醇	두터울	슌
醲	두터울	노ᇰ
腐	서글	부
臊	누릴	조
羶	노릴	젼
@	비릴	셔ᇰ
辛	ᄆᆡ올	신
辣	ᄆᆡ올	랄
酸	싈	산
苦	ᄡᅳᆯ	고
甘	ᄃᆞᆯ	감
甛	ᄃᆞᆯ	텸
鹹	ᄧᆞᆯ	함
淡	슴거울	담
呑	머구믈	ᄐᆞᆫ
含	머구믈	함
噙	씨블	금
@	ᄉᆞᆷᄭᅵᆯ	연
齦	너흘	근
齕	너흘	흘
喫	머글	긱
噉	머글	담
嗍	ᄲᆞᆯ	삭
吮	ᄲᆞᆯ	연
舐	할ᄒᆞᆯ	뎨
舔	할ᄒᆞᆯ	텸
啜	마실	텰
歃	마실	삽
飮	마실	음
嚼	십두드릴	쟉
醞	비즐	온
釀	비즐	야ᇰ
泲	바ᄐᆞᆯ	ᄌᆞ
@	바ᄐᆞᆯ	록
釃	거를	싀
@	브ᅀᅳᆯ	채
斟	브ᅀᅳᆯ	짐
酌	브ᅀᅳᆯ	쟉
@	ᄯᅳᆯ	규
挹	ᄯᅳᆯ	읍
@	ᄯᅳᆯ	요
抒	ᄯᅳᆯ	셔
獻	받ᄌᆞ올	헌
酬	가플	슈
交	섯글	교
錯	섯글	착
樂	음악	악
曲	놀애	곡
吹	불	츄
唱	브를	챠ᇰ
歌	놀애	가
舞	춤	무
醉	ᄎᆔᄒᆞᆯ	ᄎᆔ
酗	쥬져ᇰᄒᆞᆯ	후
耍	노ᄅᆞᆺ	솨
戱	노ᄅᆞᆺ	희
@	짓글힐	홍
@	짓글힐	뇨
罵	구지즐	마
詈	구지즐	리
戰	싸홈	젼
鬪	싸홈	투
@	ᄇᆡ목	굴
銊	ᄇᆡ목	슐
斿	긧발	유
旒	긧발	류
鋩	ᄂᆞᆯ	마ᇰ
刃	ᄂᆞᆯ	ᅀᅵᆫ
鉎	쇠보ᄆᆡᆯ	ᄉᆡᇰ
銹	쇠보ᄆᆡᆯ	슈
型	얼굴	혀ᇰ
模	얼굴	모
@	불뭇 골	패
@	허릿나모	례
鐏	마기	존
錔	마기	답
釰	이ᇇᄌᆞᄅᆞ	뉴
釦	젼메울	구
焇	노글	쇼
烊	노글	야ᇰ
焠	ᄃᆞᄆᆞᆯ	슈
鋥	ᄀᆞ다 ᄃᆞᄆᆞᆯ	뎌ᇰ
鎔	노길	요ᇰ
冶	불무	야
鍊	쇠 니길	련
鍛	쇠 니길	단
錭	사길	됴
鏤	사길	루
鍍	도금ᄒᆞᆯ	도
鋈	납ᅀᅧᆷᄒᆞᆯ	옥
鑄	담질ᄒᆞᆯ	주
@	노겨 브ᅀᅳᆯ	샤
錮	마글	고
銲	ᄯᅢᆯ	한
璺	금시를	문
瑕	기믜	하
綻	ᄯᅡ딜	탄
@	ᄠᅥ딜	분
釘	몯	뎌ᇰ
鉸	사복	교
蔑	대ᄧᅩᆨ	멸
箍	데메울	고
橫	빗글	회ᇰ
斜	빗글	샤
欹	기울	긔
歪	기울	괴
牮	니를	젼
拄	바퇼	듀
搘	괴올	지
捂	괴올	오
頹	믈어딜	퇴
圮	믈어딜	븨
@	믈어딜	단
塌	믈어딜	탑
甃	무ᅀᅳᆯ	츄
砌	무ᅀᅳᆯ	쳬
築	ᄉᆞᆯ	튝
壘	무ᅀᅳᆯ	류
傾	기울	겨ᇰ
仄	기울	측
撼	뮈울	함
揝	뮈울	잠
撑	괴올	ᄐᆡᇰ
@	괴올	뎜
@	괴올	삽
@	괴올	궤
坑	굳	ᄀᆡᇰ
坎	굳	감
坳	우묵ᄒᆞᆯ	요
陷	ᄢᅥ딜	함
磽	마ᄆᆞᄅᆞᆯ	교
@	마ᄆᆞᄅᆞᆯ	각
塉	마ᄆᆞᄅᆞᆯ	쳑
潟	ᄧᆞᆯ	셕
溜	기슭믈	류
冓	외촘	구
基	터	긔
址	터	지
@	디새닐	와
苫	새닐	셤
稕	바조	쥰
@	랴ᇰ테	격
孔	구무	고ᇰ
穴	구무	혈
窟	구무	굴
@	구무	롱
罅	ᄭᅳᆷ	하
釁	ᄭᅳᆷ	흔
阿	ᄭᅳᆷ	아
隙	ᄭᅳᆷ	극
塵	듣글	딘
埃	듣글	애
坌	듣글	분
塕	듣글	오ᇰ
垢	ᄠᆡ	구
圿	ᄠᆡ	갈
塊	ᄒᆞᆰ무적	괴
堛	ᄒᆞᆰ무적	벽
居	살	거
處	살	쳐
器	그릇	긔
皿	그릇	며ᇰ
衣	옷	의
服	옷	복
財	ᄌᆡ홧	ᄌᆡ
貨	ᄌᆡ홧	화
豊	녀름 됴ᄒᆞᆯ	푸ᇰ
稔	니글	님
飽	ᄇᆡ브를	포
飫	ᄇᆡ브를	어
歉	험년	겸
儉	험년	검
餒	주릴	뇌
餓	주릴	아
繅	실혈	소
繹	실혈	역
紡	사믈	바ᇰ
絡	ᄂᆞ릴	락
緝	삼 사ᄆᆞᆯ	즙
績	삼 사ᄆᆞᆯ	젹
@	뵈ᄂᆞᆯ	ᅀᅵᆷ
織	ᄧᆞᆯ	직
紺	블글	감
緅	블글	츄
纁	블글	훈
緗	노ᄂᆞᆯ	샤ᇰ
裁	ᄆᆞᄅᆞᆯ	ᄌᆡ
縫	홀	보ᇰ
繡	슈질	슈
刺	치질	쳑
穿	ᄃᆞᆯ올	쳔
着	니블	탹
摳	거두들	구
攐	거두들	건
裸	바ᄉᆞᆯ	라
裎	바ᄉᆞᆯ	뎌ᇰ
袒	메와ᄉᆞᆯ	탄
裼	바ᄉᆞᆯ	텩
套	ᄭᅵᆯ	토
搭	걸틸	탑
鞁	기르마 지홀	피
鞔	붑 메울	만
裝	ᄭᅮ밀	자ᇰ
@	ᄉᆞ견	ᄉᆞ
嵌	ᄢᅵ울	감
塑	ᄒᆞᆰ 비즐	소
粧	ᄭᅮ밀	자ᇰ
扮	비ᅀᅳᆯ	반
搽	ᄇᆞᄅᆞᆯ	차
抹	스슬	말
褪	버ᇰ글	돈
卸	브리울	샤
襤	옷 헐	람
褸	옷 헐	루
圖	그림	도
寫	쓸	쌰
描	그릴	묘
罨	그릴	압
紋	어르누글	문
綵	빗날	ᄎᆡ
繪	그림	회
飾	ᄭᅮ밀	식
誆	소길	과ᇰ
賺	소길	담
騙	소겨 아ᄋᆞᆯ	편
拐	건디쥘	괘
博	밧골	박
換	밧골	환
糶	ᄡᆞᆯ ᄑᆞᆯ	됴
糴	ᄡᆞᆯ 살	뎍
租	고ᇰ셰	조
稅	고ᇰ솃	셰
貢	바틸	고ᇰ
納	드릴	납
徵	물일	디ᇰ
斂	거둘	렴
課	혤	과
式	얼굴	식
售	발뵐	슈
衒	ᄑᆞᆯ	현
賣	ᄑᆞᆯ	매
鬻	ᄑᆞᆯ	육
沽	살	고
買	살	ᄆᆡ
購	살	구
貿	살	무
賖	왼빋	샤
貰	왼빋	셰
販	도의	판
贗	거즛	안
貼	팀바ᄃᆞᆯ	텹
@	민갑드릴	렴
賃	셰물	님
僦	셰물	ᄎᆔ
賄	쳔랴ᇰ줄	회
賂	쳔랴ᇰ줄	뢰
贈	줄	즈ᇰ
貽	줄	이
賞	샤ᇰ급	샤ᇰ
賜	줄	ᄉᆞ
給	줄	급
賚	줄	뢰
贖	물일	쇽
債	빋	채
陪	물일	ᄇᆡ
償	가플	샤ᇰ
乞	빌	걸
假	빌	가
借	빌	챠
貸	ᄢᅱ일	ᄃᆡ
籤	사ᄉᆞᆯ	쳠
籌	사ᄉᆞᆯ	듀
占	졈복	졈
筮	졈복	셔
摴	ᅀᅲᆺ	뎌
蒱	포
賭	나기ᄒᆞᆯ	도
賽	싯굴	ᄉᆡ
擹	ᅀᅲᆺ놀	탄
擲	더딜	텩
拈	자ᄇᆞᆯ	졈
@	ᄡᅪᇰ불 쥘	구
輸	옴길	슈
贏	ᄀᆞᄃᆞᆨᄒᆞᆯ	여ᇰ
勝	이긜	스ᇰ
敗	ᄒᆡ야딜	패
搔	글글	소
爬	글글	파
㧓	긁쥘	과
搯	뎌길	겹
@	우흴	와
捧	우훔	보ᇰ
抔	우흴	부
掬	우흴	국
搜	더드믈	수
探	더드믈	탐
括	거둘	괄
檢	검찰ᄒᆞᆯ	검
蘸	ᄌᆞᄆᆞ디를	잠
杻	뷔틀	뉴
撈	건딜	로
漉	건딜	록
攬	후리ᄡᅳᆯ	람
攬	후리ᄡᅳᆯ	루
捗	거두ᄡᅳᆯ	보
攎	거두ᄡᅳᆯ	로
抖	ᄠᅥᆯ	두
擻	ᄠᅥᆯ	수
搓	뷜	차
挪	뷜	나
捻	뱌ᄇᆡᆯ	녑
揑	뱌ᄇᆡᆯ	녈
撚	뱌ᄇᆡᆯ	년
搣	뱌ᄇᆡᆯ	멸
@	ᄲᅮ븰	번
撋	ᄲᅮ븰	ᅀᅧᆫ
捼	ᄲᅮ븰	나
挱	ᄲᅮ븰	사
擡	들	ᄃᆡ
